,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Conference,Age_Group
103,Jake Layman,SF,23,POR,35,1,4.6,0.4,1.3,0.298,0.1,0.6,0.2,0.3,0.8,0.37,0.34,0.1,0.1,0.667,0.1,0.3,0.5,0.3,0.2,0.1,0.1,0.4,1.0,1312611.0,West,21-24
104,Meyers Leonard,C,25,POR,33,2,7.7,1.4,2.4,0.59,0.3,0.8,0.423,1.1,1.6,0.6729999999999999,0.66,0.3,0.3,0.818,0.4,1.8,2.1,0.5,0.2,0.0,0.3,1.1,3.4,9904495.0,West,24-27
105,Damian Lillard,PG,27,POR,73,73,36.6,8.5,19.4,0.439,3.1,8.6,0.361,5.4,10.8,0.501,0.519,6.8,7.4,0.9159999999999999,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,26.9,26153057.0,West,27-30
106,Shabazz Napier,PG,26,POR,74,10,20.7,3.0,7.2,0.42,1.1,2.9,0.376,1.9,4.2,0.45,0.49700000000000005,1.6,1.9,0.841,0.4,1.9,2.3,2.0,1.1,0.2,1.2,1.1,8.7,2361360.0,West,24-27
107,Caleb Swanigan,PF,20,POR,27,3,7.0,0.9,2.2,0.4,0.0,0.3,0.125,0.9,1.9,0.442,0.408,0.4,0.7,0.667,0.6,1.4,2.0,0.5,0.2,0.1,0.7,1.4,2.3,1465920.0,West,18-21
108,Evan Turner,SF,29,POR,79,40,25.7,3.3,7.3,0.447,0.5,1.7,0.318,2.7,5.6,0.485,0.484,1.2,1.4,0.85,0.4,2.7,3.1,2.2,0.6,0.4,1.3,2.1,8.2,17131148.0,West,27-30
109,Justin Anderson,SF,24,PHI,38,0,13.7,2.3,5.3,0.431,0.9,2.7,0.33,1.4,2.6,0.535,0.515,0.7,1.0,0.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2,1579440.0,East,24-27
110,Jerryd Bayless,SG,29,PHI,39,11,23.7,2.8,6.7,0.41600000000000004,1.4,3.7,0.37,1.4,3.0,0.474,0.519,0.9,1.1,0.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9,9000000.0,East,27-30
111,Robert Covington,SF,27,PHI,80,80,31.7,4.3,10.5,0.413,2.5,6.9,0.369,1.8,3.6,0.49700000000000005,0.534,1.5,1.7,0.853,0.7,4.7,5.4,2.0,1.7,0.9,1.6,3.0,12.6,16698103.0,East,27-30
112,Joel Embiid,C,23,PHI,63,63,30.3,8.1,16.8,0.483,1.0,3.4,0.308,7.0,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,22.9,6100266.0,East,21-24
113,Markelle Fultz,SG,19,PHI,14,0,18.1,3.2,7.9,0.405,0.0,0.1,0.0,3.2,7.9,0.409,0.405,0.7,1.5,0.47600000000000003,0.8,2.3,3.1,3.8,0.9,0.3,1.2,1.6,7.1,7026240.0,East,18-21
114,Richaun Holmes,C,24,PHI,48,2,15.5,2.8,5.0,0.56,0.1,0.6,0.129,2.7,4.4,0.624,0.568,0.8,1.2,0.6609999999999999,1.2,3.2,4.4,1.3,0.4,0.6,0.5,2.0,6.5,1471382.0,East,24-27
115,Amir Johnson,C,30,PHI,74,18,15.8,1.9,3.5,0.5379999999999999,0.1,0.4,0.313,1.8,3.1,0.57,0.5579999999999999,0.7,1.1,0.612,1.7,2.8,4.5,1.6,0.6,0.6,0.7,2.6,4.6,11000000.0,East,30-33
116,Furkan Korkmaz,SG,20,PHI,14,0,5.7,0.6,2.0,0.28600000000000003,0.4,1.2,0.294,0.2,0.8,0.273,0.375,0.1,0.3,0.5,0.1,0.6,0.8,0.3,0.1,0.1,0.1,0.9,1.6,1465920.0,East,18-21
117,James Michael McAdoo,PF,25,PHI,3,0,6.0,0.7,2.3,0.28600000000000003,0.7,2.3,0.28600000000000003,0.0,0.0,0.0,0.429,0.7,0.7,1.0,0.0,0.7,0.7,0.0,0.0,0.3,0.3,0.3,2.7,50000.0,East,24-27
118,T.J. McConnell,PG,25,PHI,76,1,22.4,2.8,5.5,0.499,0.4,0.8,0.435,2.4,4.7,0.51,0.531,0.4,0.5,0.795,0.5,2.5,3.0,4.0,1.2,0.2,1.5,1.6,6.3,1471382.0,East,24-27
119,Jacob Pullen,PG,28,PHI,3,0,2.0,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,50000.0,East,27-30
120,J.J. Redick,SG,33,PHI,70,70,30.2,5.8,12.6,0.46,2.8,6.6,0.42,3.0,6.0,0.504,0.569,2.8,3.1,0.904,0.1,2.4,2.5,3.0,0.5,0.1,1.5,1.8,17.1,23000000.0,East,33-36
121,Ben Simmons,PG,21,PHI,81,81,33.7,6.7,12.3,0.545,0.0,0.1,0.0,6.7,12.2,0.551,0.545,2.4,4.2,0.56,1.8,6.3,8.1,8.2,1.7,0.9,3.4,2.6,15.8,6168840.0,East,21-24
122,Ryan Anderson,PF,29,HOU,66,50,26.1,3.1,7.3,0.431,2.0,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3,19578455.0,West,27-30
123,Trevor Ariza,SF,32,HOU,67,67,33.9,4.0,9.7,0.41200000000000003,2.5,6.9,0.368,1.5,2.8,0.519,0.542,1.1,1.3,0.8540000000000001,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2.0,11.7,7420912.0,West,30-33
124,Tarik Black,C,26,HOU,51,2,10.5,1.5,2.5,0.591,0.0,0.2,0.091,1.5,2.3,0.638,0.594,0.6,1.2,0.46,1.2,2.0,3.2,0.3,0.4,0.6,0.7,2.1,3.5,3290000.0,West,24-27
125,Bobby Brown,PG,33,HOU,20,0,5.8,1.0,2.9,0.32799999999999996,0.6,2.0,0.275,0.4,0.9,0.444,0.42200000000000004,0.1,0.1,0.5,0.0,0.4,0.4,0.6,0.2,0.0,0.5,0.3,2.5,1524305.0,West,33-36
126,Clint Capela,C,23,HOU,74,74,27.5,6.0,9.1,0.652,0.0,0.0,0.0,6.0,9.1,0.653,0.652,1.9,3.5,0.56,3.3,7.6,10.8,0.9,0.8,1.9,1.4,2.5,13.9,2334520.0,West,21-24
127,Eric Gordon,SG,29,HOU,69,30,31.2,6.0,14.1,0.428,3.2,8.8,0.359,2.9,5.2,0.544,0.54,2.8,3.5,0.809,0.4,2.1,2.5,2.2,0.6,0.4,1.9,1.7,18.0,12943020.0,West,27-30
128,Gerald Green,SG,32,HOU,41,2,22.7,4.1,10.1,0.40700000000000003,2.7,7.3,0.369,1.4,2.8,0.504,0.54,1.2,1.5,0.85,0.4,2.9,3.2,0.6,0.6,0.4,0.8,2.1,12.1,947248.0,West,30-33
129,James Harden,SG,28,HOU,72,72,35.4,9.0,20.1,0.449,3.7,10.0,0.36700000000000005,5.4,10.1,0.531,0.541,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,28299399.0,West,27-30
130,Luc Mbah a Moute,PF,31,HOU,61,15,25.6,2.7,5.7,0.48100000000000004,1.0,2.8,0.364,1.7,2.8,0.599,0.5720000000000001,1.1,1.6,0.684,0.4,2.7,3.0,0.9,1.2,0.4,1.1,1.6,7.5,2116955.0,West,30-33
131,Chinanu Onuaku,C,21,HOU,1,0,22.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,0.4,0.4,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,4.0,4.0,1312611.0,West,21-24
132,Chris Paul,PG,32,HOU,58,58,31.8,6.3,13.8,0.46,2.5,6.5,0.38,3.8,7.2,0.532,0.55,3.5,3.8,0.919,0.6,4.8,5.4,7.9,1.7,0.2,2.2,2.4,18.6,24599495.0,West,30-33
133,Zhou Qi,C,22,HOU,18,0,6.9,0.3,1.8,0.188,0.1,1.1,0.105,0.2,0.7,0.308,0.21899999999999997,0.4,0.7,0.667,0.3,0.9,1.2,0.1,0.1,0.8,0.6,0.8,1.2,815615.0,West,21-24
134,P.J. Tucker,PF,32,HOU,82,34,27.8,2.1,5.4,0.39,1.4,3.8,0.371,0.7,1.6,0.435,0.52,0.5,0.7,0.7170000000000001,1.1,4.4,5.6,0.9,1.0,0.3,0.9,2.5,6.1,7590035.0,West,30-33
135,Ike Anigbogu,C,19,IND,11,0,2.7,0.4,0.8,0.444,0.0,0.0,0.0,0.4,0.8,0.444,0.444,0.5,0.5,0.833,0.5,0.4,0.8,0.0,0.1,0.3,0.2,0.1,1.2,950000.0,East,18-21
136,Darren Collison,PG,30,IND,69,64,29.2,4.6,9.2,0.495,1.4,3.0,0.46799999999999997,3.2,6.3,0.508,0.5710000000000001,1.8,2.1,0.882,0.5,2.0,2.6,5.3,1.3,0.2,1.2,1.8,12.4,10000000.0,East,30-33
137,Al Jefferson,C,33,IND,36,1,13.4,3.1,5.8,0.534,0.0,0.1,0.0,3.1,5.7,0.541,0.534,0.8,1.0,0.833,0.8,3.1,4.0,0.8,0.4,0.6,0.6,1.8,7.0,9769821.0,East,33-36
138,Cory Joseph,PG,26,IND,82,17,27.0,3.1,7.4,0.424,0.8,2.3,0.353,2.3,5.0,0.457,0.479,0.9,1.1,0.745,0.5,2.7,3.2,3.2,1.0,0.2,1.1,1.7,7.9,7630000.0,East,24-27
139,T.J. Leaf,PF,20,IND,53,0,8.7,1.2,2.6,0.47100000000000003,0.3,0.8,0.429,0.9,1.8,0.489,0.537,0.2,0.3,0.625,0.5,1.0,1.5,0.2,0.1,0.1,0.2,0.8,2.9,2028360.0,East,18-21
140,Trey McKinney-Jones,SG,27,IND,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46080.0,East,27-30
141,Victor Oladipo,SG,25,IND,75,75,34.0,8.5,17.9,0.47700000000000004,2.1,5.8,0.371,6.4,12.1,0.528,0.537,3.9,4.9,0.799,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3,23.1,21000000.0,East,24-27
142,Alex Poythress,PF,24,IND,25,0,4.2,0.4,1.0,0.423,0.2,0.4,0.364,0.3,0.6,0.467,0.5,0.0,0.0,0.0,0.3,0.4,0.7,0.1,0.1,0.0,0.1,0.6,1.0,778668.0,East,24-27
143,Domantas Sabonis,C,21,IND,74,19,24.5,4.6,8.9,0.514,0.2,0.5,0.35100000000000003,4.4,8.4,0.524,0.524,2.3,3.0,0.75,2.2,5.5,7.7,2.0,0.5,0.4,1.9,3.0,11.6,2550000.0,East,21-24
144,Lance Stephenson,SG,27,IND,82,7,22.6,3.7,8.6,0.42700000000000005,0.8,2.8,0.289,2.9,5.8,0.495,0.475,1.0,1.5,0.6609999999999999,0.8,4.4,5.2,2.9,0.6,0.2,1.6,2.2,9.2,4180000.0,East,27-30
145,Myles Turner,C,21,IND,65,62,28.2,4.7,9.8,0.479,0.9,2.4,0.35700000000000004,3.8,7.4,0.519,0.523,2.5,3.2,0.777,1.4,5.0,6.4,1.3,0.6,1.8,1.5,2.9,12.7,2569920.0,East,21-24
146,Damien Wilkins,SF,38,IND,19,1,8.0,0.7,2.1,0.33299999999999996,0.2,0.9,0.222,0.5,1.1,0.429,0.385,0.2,0.2,0.75,0.3,0.6,0.8,0.5,0.1,0.1,0.3,0.4,1.7,2116955.0,East,36+
147,Joe Young,PG,25,IND,53,1,10.5,1.5,3.5,0.43,0.5,1.2,0.379,1.0,2.3,0.45799999999999996,0.49700000000000005,0.4,0.5,0.759,0.2,1.0,1.2,0.7,0.3,0.0,0.5,0.7,3.9,1471382.0,East,24-27
148,Thaddeus Young,PF,29,IND,81,81,32.2,5.2,10.7,0.48700000000000004,0.7,2.2,0.32,4.5,8.4,0.531,0.521,0.7,1.1,0.598,2.3,4.0,6.3,1.9,1.7,0.4,1.3,2.2,11.8,14796348.0,East,27-30
149,Giannis Antetokounmpo,PF,23,MIL,75,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.5539999999999999,0.545,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,22471910.0,East,21-24
150,Joel Bolomboy,PF,24,MIL,6,0,6.3,0.5,1.0,0.5,0.0,0.2,0.0,0.5,0.8,0.6,0.5,0.5,1.0,0.5,1.0,0.7,1.7,0.0,0.3,0.0,0.3,0.5,1.5,1312611.0,East,24-27
151,Joel Bolomboy,PF,24,MIL,6,0,6.3,0.5,1.0,0.5,0.0,0.2,0.0,0.5,0.8,0.6,0.5,0.5,1.0,0.5,1.0,0.7,1.7,0.0,0.3,0.0,0.3,0.5,1.5,22248.0,East,24-27
152,Malcolm Brogdon,PG,25,MIL,48,20,29.9,5.1,10.5,0.485,1.3,3.4,0.385,3.8,7.1,0.532,0.547,1.6,1.8,0.882,0.5,2.8,3.3,3.2,0.9,0.3,1.4,2.7,13.0,1312611.0,East,24-27
153,Sterling Brown,SG,22,MIL,54,4,14.4,1.5,3.8,0.4,0.6,1.7,0.35200000000000004,0.9,2.1,0.439,0.478,0.4,0.4,0.875,0.5,2.1,2.6,0.5,0.6,0.2,0.5,1.5,4.0,815615.0,East,21-24
154,Matthew Dellavedova,PG,27,MIL,38,3,18.7,1.4,4.0,0.36200000000000004,0.8,2.1,0.37200000000000005,0.7,1.9,0.35100000000000003,0.457,0.7,0.7,0.9259999999999999,0.4,1.3,1.7,3.8,0.4,0.0,1.3,1.8,4.3,9607500.0,East,27-30
155,John Henson,C,27,MIL,76,69,25.9,3.8,6.6,0.5720000000000001,0.0,0.1,0.14300000000000002,3.8,6.5,0.578,0.573,1.2,2.1,0.57,2.0,4.8,6.8,1.5,0.6,1.4,1.1,2.7,8.8,11422536.0,East,27-30
156,Brandon Jennings,PG,28,MIL,14,0,14.6,1.9,5.1,0.375,0.6,2.4,0.273,1.3,2.8,0.462,0.43799999999999994,0.7,0.7,1.0,0.4,1.9,2.2,3.1,0.4,0.3,1.3,0.8,5.2,119010.0,East,27-30
157,Thon Maker,C,20,MIL,74,12,16.7,1.8,4.3,0.41100000000000003,0.4,1.4,0.298,1.3,2.9,0.467,0.46,0.9,1.3,0.6990000000000001,1.0,2.0,3.0,0.6,0.5,0.7,0.6,2.2,4.8,2684160.0,East,18-21
158,Khris Middleton,SF,26,MIL,82,82,36.4,7.2,15.5,0.466,1.8,5.0,0.359,5.5,10.5,0.517,0.524,3.9,4.4,0.884,0.5,4.7,5.2,4.0,1.5,0.3,2.3,3.3,20.1,14100000.0,East,24-27
159,Jabari Parker,PF,22,MIL,31,3,24.0,5.2,10.7,0.48200000000000004,1.0,2.6,0.38299999999999995,4.2,8.1,0.514,0.529,1.3,1.7,0.741,1.4,3.5,4.9,1.9,0.8,0.3,1.5,1.6,12.6,6782392.0,East,21-24
160,Marshall Plumlee,C,25,MIL,8,0,6.5,0.1,0.4,0.33299999999999996,0.0,0.0,0.0,0.1,0.4,0.33299999999999996,0.33299999999999996,1.5,2.0,0.75,0.5,1.6,2.1,0.3,0.0,0.1,0.4,1.3,1.8,100000.0,East,24-27
161,Tony Snell,SG,26,MIL,75,59,27.4,2.5,5.7,0.435,1.4,3.6,0.40299999999999997,1.0,2.1,0.49,0.562,0.5,0.6,0.792,0.1,1.8,1.9,1.3,0.6,0.4,0.5,1.5,6.9,9821429.0,East,24-27
162,Jason Terry,SG,40,MIL,51,4,16.0,1.2,3.0,0.38299999999999995,0.8,2.3,0.348,0.4,0.8,0.48700000000000004,0.513,0.2,0.2,0.889,0.1,0.8,0.9,1.2,0.8,0.3,0.5,1.0,3.3,2328652.0,East,36+
163,D.J. Wilson,PF,21,MIL,22,0,3.2,0.4,0.7,0.563,0.1,0.2,0.4,0.3,0.5,0.636,0.625,0.0,0.1,0.5,0.1,0.4,0.5,0.1,0.1,0.0,0.2,0.3,1.0,2135040.0,East,21-24
164,OG Anunoby,SF,20,TOR,74,62,20.0,2.2,4.7,0.47100000000000003,1.0,2.7,0.371,1.2,2.0,0.604,0.5770000000000001,0.5,0.8,0.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9,1645200.0,East,18-21
165,DeMar DeRozan,SG,28,TOR,80,80,33.9,8.1,17.7,0.456,1.1,3.6,0.31,7.0,14.1,0.494,0.488,5.8,7.0,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23.0,27739975.0,East,27-30
166,Serge Ibaka,PF,28,TOR,76,76,27.5,5.0,10.3,0.483,1.4,3.9,0.36,3.6,6.4,0.5589999999999999,0.552,1.2,1.6,0.797,1.0,5.3,6.3,0.8,0.4,1.3,1.2,2.8,12.6,20061729.0,East,27-30
167,Kyle Lowry,PG,31,TOR,78,78,32.2,5.2,12.1,0.42700000000000005,3.1,7.6,0.39899999999999997,2.1,4.5,0.474,0.5529999999999999,2.9,3.3,0.8540000000000001,0.8,4.7,5.6,6.9,1.1,0.2,2.3,2.5,16.2,28703704.0,East,30-33
168,Alfonzo McKinnie,SF,25,TOR,14,0,3.8,0.6,1.1,0.5329999999999999,0.2,0.6,0.33299999999999996,0.4,0.4,0.833,0.633,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.6,1.5,815615.0,East,24-27
169,C.J. Miles,SF,30,TOR,70,3,19.1,3.2,8.6,0.379,2.3,6.5,0.361,0.9,2.1,0.434,0.516,1.2,1.4,0.835,0.3,1.9,2.2,0.8,0.5,0.3,0.6,1.9,10.0,7936509.0,East,30-33
170,Lucas Nogueira,C,25,TOR,49,3,8.5,1.0,1.6,0.613,0.1,0.4,0.263,0.9,1.2,0.721,0.644,0.4,0.6,0.679,0.4,1.4,1.8,0.4,0.5,0.9,0.3,1.0,2.5,2947305.0,East,24-27
171,Jakob Poeltl,C,22,TOR,82,0,18.6,3.1,4.7,0.659,0.0,0.0,0.5,3.1,4.7,0.66,0.66,0.7,1.2,0.594,2.0,2.8,4.8,0.7,0.5,1.2,1.0,2.6,6.9,2825640.0,East,21-24
172,Norman Powell,SG,24,TOR,70,18,15.2,2.1,5.3,0.401,0.8,2.7,0.285,1.4,2.7,0.516,0.47200000000000003,0.5,0.6,0.821,0.2,1.5,1.7,1.3,0.5,0.2,0.9,1.6,5.5,1471382.0,East,24-27
173,Pascal Siakam,PF,23,TOR,81,5,20.7,3.1,6.1,0.508,0.4,1.6,0.22,2.8,4.5,0.612,0.537,0.7,1.1,0.621,1.0,3.5,4.5,2.0,0.8,0.5,0.8,2.0,7.3,1312611.0,East,21-24
174,Fred VanVleet,PG,23,TOR,76,0,20.0,3.1,7.2,0.426,1.4,3.4,0.414,1.6,3.7,0.43700000000000006,0.525,1.1,1.3,0.8320000000000001,0.3,2.1,2.4,3.2,0.9,0.3,1.0,1.7,8.6,1312611.0,East,21-24
175,Delon Wright,PG,25,TOR,69,4,20.8,2.9,6.3,0.465,0.8,2.2,0.366,2.1,4.0,0.52,0.53,1.4,1.7,0.8290000000000001,0.7,2.2,2.9,2.9,1.0,0.5,1.1,1.2,8.0,1645200.0,East,24-27
176,Darrell Arthur,PF,29,DEN,19,1,7.4,1.2,2.5,0.46799999999999997,0.4,1.2,0.348,0.7,1.3,0.583,0.5529999999999999,0.1,0.2,0.667,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8,7464912.0,West,27-30
177,Will Barton,SG,27,DEN,81,40,33.1,5.7,12.7,0.452,1.9,5.2,0.37,3.8,7.5,0.51,0.528,2.2,2.8,0.805,0.9,4.2,5.0,4.1,1.0,0.6,1.8,2.1,15.7,3533333.0,West,27-30
178,Malik Beasley,SG,21,DEN,62,0,9.4,1.2,2.9,0.41,0.5,1.3,0.341,0.7,1.5,0.469,0.489,0.4,0.5,0.667,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,3.2,1700640.0,West,21-24
179,Wilson Chandler,SF,30,DEN,74,71,31.7,3.8,8.5,0.445,1.2,3.3,0.358,2.6,5.2,0.501,0.515,1.2,1.5,0.772,1.4,4.0,5.4,2.1,0.6,0.5,1.2,2.1,10.0,12016854.0,West,30-33
180,Kenneth Faried,PF,28,DEN,32,7,14.4,2.4,4.6,0.514,0.0,0.0,0.0,2.4,4.6,0.517,0.514,1.1,1.6,0.706,2.1,2.7,4.8,0.6,0.4,0.4,0.7,1.6,5.9,12921348.0,West,27-30
181,Gary Harris,SG,23,DEN,67,65,34.4,6.6,13.6,0.485,2.3,5.9,0.396,4.2,7.7,0.5529999999999999,0.57,2.0,2.4,0.8270000000000001,0.6,2.1,2.6,2.9,1.8,0.2,1.8,1.8,17.5,2550055.0,West,21-24
182,Richard Jefferson,SF,37,DEN,20,0,8.2,0.6,1.4,0.444,0.1,0.4,0.28600000000000003,0.5,1.0,0.5,0.48100000000000004,0.2,0.4,0.5710000000000001,0.1,0.8,0.9,0.8,0.1,0.1,0.3,0.6,1.5,2500000.0,West,36+
183,Richard Jefferson,SF,37,DEN,20,0,8.2,0.6,1.4,0.444,0.1,0.4,0.28600000000000003,0.5,1.0,0.5,0.48100000000000004,0.2,0.4,0.5710000000000001,0.1,0.8,0.9,0.8,0.1,0.1,0.3,0.6,1.5,2328652.0,West,36+
184,Tyler Lydon,PF,21,DEN,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579440.0,West,21-24
185,Trey Lyles,PF,22,DEN,73,2,19.1,3.7,7.5,0.491,1.1,3.0,0.381,2.6,4.5,0.563,0.5660000000000001,1.4,2.0,0.706,0.8,4.0,4.8,1.2,0.4,0.5,0.8,1.5,9.9,2441400.0,West,21-24
186,Paul Millsap,PF,32,DEN,38,37,30.1,5.3,11.4,0.46399999999999997,1.0,3.0,0.345,4.3,8.5,0.506,0.509,2.9,4.2,0.696,1.7,4.7,6.4,2.8,1.0,1.2,1.9,2.6,14.6,31269231.0,West,30-33
187,Jamal Murray,PG,20,DEN,81,80,31.7,5.9,13.1,0.451,2.0,5.4,0.37799999999999995,3.9,7.7,0.502,0.529,2.8,3.1,0.905,1.0,2.7,3.7,3.4,1.0,0.3,2.1,2.1,16.7,3355320.0,West,18-21
188,Mason Plumlee,C,27,DEN,74,26,19.4,3.0,5.0,0.601,0.0,0.0,0.0,3.0,5.0,0.602,0.601,1.1,2.4,0.45799999999999996,1.8,3.6,5.4,1.9,0.7,1.1,1.4,2.5,7.1,14041096.0,West,27-30
189,Dwayne Bacon,SG,22,CHO,53,6,13.5,1.4,3.6,0.375,0.2,0.8,0.256,1.2,2.8,0.409,0.40399999999999997,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0.0,0.4,0.9,3.3,815615.0,East,21-24
190,Nicolas Batum,SG,29,CHO,64,64,31.0,4.2,10.2,0.415,1.4,4.3,0.336,2.8,5.9,0.473,0.486,1.7,2.0,0.831,0.9,3.9,4.8,5.5,1.0,0.4,2.0,1.1,11.6,22434783.0,East,27-30
191,Michael Carter-Williams,PG,26,CHO,52,2,16.1,1.5,4.4,0.332,0.3,1.1,0.237,1.2,3.3,0.365,0.36200000000000004,1.4,1.7,0.82,0.7,1.9,2.7,2.2,0.8,0.4,1.0,1.9,4.6,2700000.0,East,24-27
192,Treveon Graham,SG,24,CHO,63,2,16.7,1.5,3.5,0.434,0.6,1.5,0.41200000000000003,0.9,2.0,0.452,0.525,0.7,0.9,0.695,0.7,1.3,1.9,0.9,0.5,0.0,0.4,1.7,4.3,1312611.0,East,24-27
193,Dwight Howard,C,32,CHO,81,81,30.4,6.2,11.2,0.555,0.0,0.1,0.14300000000000002,6.2,11.2,0.5589999999999999,0.556,4.1,7.2,0.574,3.1,9.3,12.5,1.3,0.6,1.6,2.6,3.1,16.6,23500000.0,East,30-33
194,Frank Kaminsky,PF,24,CHO,79,4,23.2,3.9,9.1,0.429,1.3,3.5,0.38,2.6,5.6,0.45899999999999996,0.501,2.0,2.5,0.799,0.6,3.1,3.6,1.6,0.5,0.2,0.8,1.2,11.1,2847600.0,East,24-27
195,Michael Kidd-Gilchrist,SF,24,CHO,74,74,25.0,3.8,7.6,0.504,0.0,0.0,0.0,3.8,7.5,0.505,0.504,1.6,2.3,0.684,1.1,2.9,4.1,1.0,0.7,0.4,0.7,1.9,9.2,13000000.0,East,24-27
196,Jeremy Lamb,SG,25,CHO,80,18,24.6,4.8,10.4,0.457,1.2,3.2,0.37,3.6,7.2,0.495,0.513,2.2,2.6,0.861,0.6,3.4,4.1,2.3,0.8,0.4,1.2,1.7,12.9,7000000.0,East,24-27
197,Malik Monk,SG,19,CHO,63,0,13.6,2.4,6.7,0.36,1.3,3.9,0.342,1.1,2.9,0.385,0.45799999999999996,0.5,0.6,0.8420000000000001,0.1,0.9,1.0,1.4,0.3,0.1,0.8,1.0,6.7,2904480.0,East,18-21
198,Johnny O'Bryant,PF,24,CHO,36,0,10.5,1.9,4.8,0.39799999999999996,0.4,1.2,0.326,1.5,3.6,0.42200000000000004,0.439,0.6,0.7,0.84,0.8,1.8,2.6,0.4,0.3,0.2,0.4,1.3,4.8,1524305.0,East,24-27
199,Julyan Stone,SG,29,CHO,23,0,7.6,0.3,0.6,0.462,0.3,0.6,0.462,0.0,0.0,0.0,0.6920000000000001,0.0,0.1,0.5,0.0,1.2,1.3,1.1,0.2,0.1,0.3,0.9,0.8,1524305.0,East,27-30
200,Kemba Walker,PG,27,CHO,80,80,34.2,7.4,17.0,0.431,2.9,7.5,0.384,4.5,9.5,0.469,0.516,4.5,5.3,0.8640000000000001,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,22.1,12000000.0,East,27-30
201,Marvin Williams,PF,31,CHO,78,78,25.7,3.3,7.2,0.45799999999999996,1.6,3.9,0.413,1.7,3.3,0.512,0.57,1.3,1.6,0.8290000000000001,0.9,3.8,4.7,1.2,0.7,0.5,0.8,1.5,9.5,13168750.0,East,30-33
202,Cody Zeller,C,25,CHO,33,0,19.0,2.6,4.7,0.545,0.1,0.1,0.667,2.5,4.6,0.542,0.551,1.8,2.6,0.718,2.0,3.3,5.4,0.9,0.4,0.6,1.0,2.5,7.1,12584270.0,East,24-27
203,Ron Baker,SG,24,NYK,29,1,13.3,0.7,2.0,0.33899999999999997,0.4,1.1,0.33299999999999996,0.3,0.9,0.34600000000000003,0.43200000000000005,0.7,0.9,0.769,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.4,4328000.0,East,24-27
204,Michael Beasley,PF,29,NYK,74,30,22.3,5.5,10.9,0.507,0.5,1.2,0.395,5.1,9.7,0.52,0.528,1.7,2.1,0.78,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2.0,13.2,2116955.0,East,27-30
205,Trey Burke,PG,25,NYK,36,9,21.8,5.4,10.7,0.503,1.1,2.9,0.36200000000000004,4.3,7.8,0.556,0.552,1.0,1.6,0.649,0.4,1.6,2.0,4.7,0.7,0.1,1.2,1.2,12.8,784160.0,East,24-27
206,Damyean Dotson,SG,23,NYK,44,2,10.8,1.6,3.7,0.447,0.5,1.5,0.324,1.1,2.1,0.5379999999999999,0.516,0.4,0.5,0.696,0.2,1.7,1.9,0.7,0.3,0.0,0.4,0.8,4.1,1100000.0,East,21-24
207,Jarrett Jack,PG,34,NYK,62,56,25.0,3.0,7.1,0.42700000000000005,0.4,1.4,0.29100000000000004,2.6,5.8,0.45899999999999996,0.455,1.0,1.2,0.84,0.4,2.7,3.1,5.6,0.6,0.1,1.9,1.6,7.5,2328652.0,East,33-36
